person.key,person.name.last,person.name.first,entry.name
carson-exc,Carson,Dr. F. R.,#league
brugher-ump,Brugher,W. H.,#umpire
cline-ump,Cline,"Edward M. ""Ed""",#umpire
craig-ump,Craig,,#umpire
gay-ump,Gay,,#umpire
lavelle-ump,Lavelle,Martin,#umpire
mack-ump,Mack,"""Reddy""",#umpire
mauch-ump,Mauch,"Alfred M. ""Al""",#umpire
oconnor-ump,O'Connor,Dan,#umpire
rigler-ump,Rigler,"Charles ""Cy""",#umpire
shuster-ump,Shuster,,#umpire
sinister-ump,Sinister,J. K.,#umpire
westlake-ump,Westlake,George T.,#umpire
wheelock-day+can,Wheelock,Wallace,#umpire
wood-ump,Wood,Harry E.,#umpire
alberts-fw+can,Alberts,"Frederick J. ""Cy""*",Canton
bade-can,Bade,"William M. ""Bade""",Canton
cooley-spr+gr+can,Cooley,William J.,Canton
farrell.u-can,Farrell,(Bert?),Canton
hardy-fw+can,Hardy,"John D. ""Jack""*",Canton
hopke-fw+can,Hopke,"William ""Bill""*",Canton
johnson-spr+can,Johnson,"J. Raleigh ""Rollo""",Canton
kline-can,Kline,John,Canton
lindsay-fw+can,Lindsay,John Lindsey,Canton
myers.j-spr+can,Myers,"John Henry ""Jack""",Canton
myers.w-fw+can,Myers,"William M. ""Bade""",Canton
osborn-fw+can,Osborn,"Wilfred P. ""Fred""*",Canton
ostdeik-fw+can,Ostdeik,"Harry G. ""Harry""*",Canton
plummer-spr+can,Plummer,Thomas,Canton
riley-fw+can,Riley,"Daniel ""Polly""",Canton
sealts-can,Sealts,Frank W.,Canton
vananda-fw+can,Van Anda,"Edward S. ""Sam""",Canton
wheelock-day+can,Wheelock,Wallace,Canton
willis-spr+can,Willis,Ralph B.,Canton
austin-day,Austin,"James P. ""Jimmy""*",Dayton
cameron-spr+day,Cameron,"James ""Jimmy""",Dayton
crotty-day,Crotty,,Dayton
edmunds-day+th,Edmunds,,Dayton
fields-day,Fields,,Dayton
fuller-day,Fuller,"Charles F. ""Nig""*",Dayton
haas-day+spr,Haas,Bert,Dayton
hawkins-day,Hawkins,Thomas,Dayton
johns-day,Johns,"Oliver T. ""Ollie""*",Dayton
karnes-day,Karnes,,Dayton
keller-spr+day,Keller,Fred Harry,Dayton
knoll.j-day,Knoll,"Julius M. ""Hub""",Dayton
knoll.j-day,Knoll,"Julius ""Hub""",Dayton
mcdonald-day,McDonald,,Dayton
mundhenk-day,Mundhenk,,Dayton
nye-day,Nye,"Martin E. ""Bill""",Dayton
paskert-day,Paskert,"George H. ""Dode""*",Dayton
pearson-day,Pearson,William,Dayton
pickett-day,Pickett,"David ""Dave""*",Dayton
schmidt-day,Schmidt,,Dayton
smith-day,Smith,"Rhesa E. ""Ed""*",Dayton
welsh-day,Welsh,R.,Dayton
wheelock-day+can,Wheelock,Wallace,Dayton
white-day,White,,Dayton
wise-day,Wise,Pat,Dayton
brady-eva,Brady,"George ""Lefty""",Evansville
chandler-eva,Chandler,Robert Hawes,Evansville
clemments-eva,Clemments,,Evansville
conaway-eva,Conaway,"Robert ""Bobby""",Evansville
coy-eva,Coy,Bert Marvin,Evansville
cross-eva,Cross,Frank A.*,Evansville
diehl-eva,Diehl,Harry,Evansville
donahue-spr+fw+eva,Donahue,William,Evansville
fleming-eva,Fleming,H.,Evansville
francis-eva,Francis,"Isaac W. ""Ike""",Evansville
freeman-eva,Freeman,James  C.,Evansville
fremer-eva,Fremer,"Anthony ""Tony""",Evansville
gillen-spr+eva,Gillen,Grover,Evansville
haisman-eva,Haisman,"Victor ""Vic""",Evansville
henderson-eva,Henderson,,Evansville
hofman-eva,Hofman,Fred,Evansville
hunt-th+eva,Hunt,Louis J.,Evansville
kelly.wa-eva,Kelly,William A.,Evansville
kelly.wj-eva,Kelly,"William J. ""Billy""*",Evansville
knolls-eva,Knolls,"Oscar E. ""Hub""*",Evansville
long-eva,Long,Arthur,Evansville
lynch-eva,Lynch,"Robert E. ""Bobby""",Evansville
mccafferty-eva,McCafferty,Charles A.,Evansville
miller-eva,Miller,,Evansville
morris-eva,Morris,,Evansville
parker-eva,Parker,Jay*,Evansville
ryan-eva,Ryan,James P.* ,Evansville
stewart-eva,Stewart,Harry L.,Evansville
watson-eva,Watson,,Evansville
wilder-eva,Wilder,Percy,Evansville
alberts-fw+can,Alberts,"Frederick J. ""Cy""*",Fort Wayne
belden-fw,Belden,William,Fort Wayne
boyd-fw,Boyd,Zeke,Fort Wayne
carbiener-fw,Carbiener,Arthur,Fort Wayne
dennis-fw+th,Dennis,Bert R.,Fort Wayne
donahue-spr+fw+eva,Donahue,William,Fort Wayne
doyle-fw,Doyle,"Joseph ""Joe""",Fort Wayne
grubbs-fw,Grubbs,Frank,Fort Wayne
hardy-fw+can,Hardy,"John D. ""Jack""*",Fort Wayne
havel-fw+gr,Havel,"Edward S. ""Sam""",Fort Wayne
hopke-fw+can,Hopke,"William ""Bill""*",Fort Wayne
johnson-fw,Johnson,,Fort Wayne
lindsay-fw+can,Lindsay,John Lindsey,Fort Wayne
meyers-fw,Meyers,"Leonard ""Leo""",Fort Wayne
myers.w-fw+can,Myers,"William M. ""Bade""",Fort Wayne
newcombe-fw,Newcombe,Roy,Fort Wayne
osborn-fw+can,Osborn,"Wilfred P. ""Fred""*",Fort Wayne
ostdeik-fw+can,Ostdeik,"Harry G. ""Harry""*",Fort Wayne
ream-fw,Ream,George Elmer,Fort Wayne
riley-fw+can,Riley,"Daniel ""Polly""",Fort Wayne
vananda-fw+can,Van Anda,"Edward S. ""Sam""",Fort Wayne
alloway-gr,Alloway,"Arthur ""Podge""",Grand Rapids
andrews-gr+th,Andrews,Charles,Grand Rapids
backoff-gr,Backoff,Alex Charles,Grand Rapids
barber-gr,Barber,"William ""Bill""",Grand Rapids
bliss-gr,Bliss,Elmer W.*,Grand Rapids
butler-gr,Butler,Isaac B. 'Ike'*,Grand Rapids
carey-gr,Carey,"George C. ""Scoops""*",Grand Rapids
chapman-gr+sb+th,Chapman,Clayton,Grand Rapids
cooley-spr+gr+can,Cooley,William J.,Grand Rapids
farrell.b-gr,Farrell,Bert J.,Grand Rapids
fox-gr+th,Fox,Charles,Grand Rapids
ganzel.john-gr,Ganzel,John,Grand Rapids
ganzel.jos-gr,Ganzel,"Joseph S. ""Joe""",Grand Rapids
gaston-gr,Gaston,William David,Grand Rapids
geyer-gr,Geyer,"John O.  ""Lefty""",Grand Rapids
hale-gr,Hale,Glenn,Grand Rapids
harris-sb+gr,Harris,"Joseph ""Joe""",Grand Rapids
havel-fw+gr,Havel,"Edward S. ""Sam""",Grand Rapids
horn-gr,Horn,"William L. ""Casey""",Grand Rapids
hyde-gr,Hyde,Carl W.,Grand Rapids
kennedy-gr,Kennedy,James,Grand Rapids
lloyd-gr,Lloyd,,Grand Rapids
martin-gr+th,Martin,Harry,Grand Rapids
melchoir-gr,Melchoir,Henry,Grand Rapids
miller-gr,Miller,"Walter W. ""Walt""*",Grand Rapids
morrissey-gr,Morrissey,"John A. ""King""*",Grand Rapids
obrien-gr,O'Brien,,Grand Rapids
perry-gr,Perry,"William H. ""Hank""*",Grand Rapids
reading-gr,Reading,Charles A.,Grand Rapids
thomas-gr,Thomas,Tom (Tom R.*?),Grand Rapids
vizard-gr+sb,Vizard,James H.,Grand Rapids
warner-gr,Warner,Homer,Grand Rapids
anderson-sb,Anderson,"Edward J. ""Goat""*",South Bend
chapman-gr+sb+th,Chapman,Clayton,South Bend
christian-sb+th,Christian,John Tyler,South Bend
connors-sb,Connors,"John T. ""Buck""",South Bend
ferrias-sb,Ferrias,"E. B. ""Zeke""",South Bend
foy-sb,Foy,Leon C.,South Bend
grant-sb,Grant,Angus A.,South Bend
groeschow-sb,Groeschow,"Wm. Fred ""Cuppy""",South Bend
hammond-sb+spr,Hammond,Harry,South Bend
harris-sb+gr,Harris,"Joseph ""Joe""",South Bend
letcher-sb,Letcher,"Fred. Thomas ""Tom""",South Bend
moffitt-sb,Moffitt,Elmer,South Bend
plass-sb,Plass,Forest T.,South Bend
price-sb,Price,,South Bend
richardson-th+sb,Richardson,"William H. ""Bill""*",South Bend
sager-sb,Sager,James L.,South Bend
schaefer-sb,Schaefer,George F.,South Bend
searles-sb,Searles,"Thomas ""Tom""",South Bend
tieman-sb,Tieman,George F.,South Bend
vizard-gr+sb,Vizard,James H.,South Bend
