person.key,person.name.last,person.name.first,entry.name
beaumont-bri,Beaumont,,Bridgeport
coughlin-hol+bri,Coughlin,,Bridgeport
downey-bri,Downey,,Bridgeport
foster-bri,Foster,,Bridgeport
ladd-bri,Ladd,,Bridgeport
newman-bri,Newman,,Bridgeport
odell-bri,Odell,,Bridgeport
orourke-bri,"O'Rourke, Sr.",,Bridgeport
yale-bri,Yale,,Bridgeport
daly-har,Daly,,Hartford
doran-har,Doran,,Hartford
fallon-har,Fallon,,Hartford
gastmeyer-har,Gastmeyer,,Hartford
karns-har+mer,Karns,,Hartford
luyster-har,Luyster,,Hartford
noves-har,Noves,,Hartford
coughlin-hol+bri,Coughlin,,Holyoke
deal-hol,Deal,,Holyoke
hartley-hol,Hartley,,Holyoke
hoffman-hol,Hoffman,,Holyoke
hummel-hol,Hummel,,Holyoke
mccormick-hol,McCormick,,Holyoke
remeter-hol,Rementer,,Holyoke
vickers-hol,Vickers,,Holyoke
bone-mer,Bone,,Meriden
burke-mer+nh,Burke,,Meriden
karns-har+mer,Karns,,Meriden
lenox-mer+nh,Lenox,,Meriden
mcandrews-mer,McAndrews,,Meriden
mccabe-mer,McCabe,,Meriden
burke-mer+nh,Burke,,New Haven
hayward-nh,Hayward,,New Haven
lenox-mer+nh,Lenox,,New Haven
sherwood-nh,Sherwood,,New Haven
theisen-nh,Theisen,,New Haven
thompson-nor+nh,Thompson,,New Haven
armbruster-nl,Armbruster,,New London
crolius+nl,Crolius,,New London
finn-nl,Finn,,New London
rising-nl,Rising,,New London
supple-nl,Supple,,New London
bridges-nor,Bridges,,Norwich
canavan-nor,Canavan,,Norwich
edmunds-nor,Edmunds,,Norwich
hannifin-nor,Hannifin,,Norwich
latimer-nor,Latimer,,Norwich
lord-nor,Lord,,Norwich
perkins-nor,Perkins,,Norwich
scudder-nor,Scudder,,Norwich
thompson-nor+nh,Thompson,,Norwich
tighe-nor,Tighe,,Norwich
wade-nor,Wade,,Norwich
altizer-spr,Altizer,,Springfield
flanagan-spr,Flanagan,,Springfield
robarge-spr,Robarge,,Springfield
tansey-spr,Tansey,,Springfield
