person.key,person.name.last,person.name.first,entry.name
murnane-exc,Murnane,Timothy H.,#league
brady-ump,Brady,Tom,#umpire
hastings-ump,Hastings,Charles M.*,#umpire
kerins-ump,Kerins,"John N. ""Jack""*",#umpire
mccloud-ump,McCloud,Harry J.,#umpire
obrien-ump,O'Brien,,#umpire
stafford-ump,Stafford,"John H. ""Jack""*",#umpire
callahan-con,Callahan,John F.,Concord
curley-con,Curley,Walter J.*,Concord
devine-nas+con,Devine,Thomas F.,Concord
duggan-con,Duggan,Daniel J.,Concord
dunn-con,Dunn,Ambrose,Concord
edmonston-con+nas,Edmonston,Samuel S.*,Concord
eustace-con,Eustace,Frank J.*,Concord
frock-con,Frock,Samuel W.*,Concord
groom-con+hav,Groom,Leonard,Concord
hartman-con,Hartman,"Samuel ""Sam""",Concord
henry-con,Henry,Frank P.,Concord
hickman-con,Hickman,Charles H.,Concord
kane-con,Kane,Ambrose Patrick,Concord
knotts-low+con,Knotts,Joseph S.*,Concord
murphy-con,Murphy,Patrick H.,Concord
sheets-con,Sheets,Roy C.,Concord
sline-con,Sline,William Francis,Concord
steventon-con+nas,Steventon,John H.,Concord
sullivan.p-low+con,Sullivan,Percy J.,Concord
templin-con,Templin,Curtis H.,Concord
zacher-con,Zacher,Elmer H.*,Concord
zeller-con,Zeller,Jack,Concord
birmingham-fr,Birmingham,"Michael F. ""Mike""",Fall River
bowcock-fr,Bowcock,Benjamin J.*,Fall River
carrick-fr,Carrick,William M.*,Fall River
carrier-nb+fr+man+hav,Carrier,Archie,Fall River
curry-lyn+fr,Curry,,Fall River
dwyer-fr+nb,Dwyer,Timothy J.,Fall River
feeney-fr,Feeney,Thomas R./F.,Fall River
gilroy-fr,Gilroy,Thomas W.,Fall River
guiheen-fr,Guiheen,Thomas A.,Fall River
harris-fr,Harris,Joseph L. W.*,Fall River
higgins-fr,Higgins,Joseph I.,Fall River
hirst-fr,Hirst,James W.,Fall River
kiernan-fr,Kiernan,John Francis,Fall River
lee-fr+tau,Lee,Carl F.,Fall River
mcdermott-fr,McDermott,Thomas F.,Fall River
moorhead-fr,Moorhead,James,Fall River
ohara-fr,O'Hara,Dennis,Fall River
rioux-fr,Rioux,,Fall River
sullivan-fr,Sullivan,John D.,Fall River
swanson-fr,Swanson,Iver,Fall River
waters-fr,Waters,Martin John,Fall River
ahearn-hav,Ahearn,Walter,Haverhill
averill-hav,Averill,"John ""Jack""",Haverhill
boardman-hav,Boardman,George H.,Haverhill
brown-hav,Brown,Fred H.*,Haverhill
carrier-nb+fr+man+hav,Carrier,Archie,Haverhill
clancy-hav,Clancy,Charles A.,Haverhill
connolly-hav,Connolly,Patrick H.,Haverhill
cross-hav,Cross,James H.,Haverhill
dean-hav,Dean,H. Lawrence,Haverhill
driscoll-nas+hav,Driscoll,James W.,Haverhill
edwards-hav,Edwards,George W.,Haverhill
foley-hav,Foley,Charles,Haverhill
francis-hav,Francis,,Haverhill
groom-con+hav,Groom,Leonard,Haverhill
lawrence-hav,Lawrence,Andrew,Haverhill
leahy-nas+hav,Leahy,David F.,Haverhill
mcginley-hav,McGinley,James W.*,Haverhill
mcgraw-hav,McGraw,Bernard J.,Haverhill
miron-hav,Miron,E. Dennis,Haverhill
morrison-hav,Morrison,John J.,Haverhill
moss-hav,Moss,Charles,Haverhill
murphy-hav,Murphy,Cornelius D.*,Haverhill
oneil.h-hav+tau,O'Neil,Harry J.,Haverhill
oneill.j-hav+lyn,O'Neill,James J.,Haverhill
raftery-hav,Raftery,Thomas F.*,Haverhill
smythe-hav,Smythe,Harry W.,Haverhill
spooner-hav,Spooner,George A.,Haverhill
taylor-nb+hav,Taylor,Wallace N.,Haverhill
unkle-hav,Unkle,W. George,Haverhill
varney-hav+nas+nb,Varney,Lawrence D.*,Haverhill
wallace-hav,Wallace,James L.*,Haverhill
armbruster-man+law,Armbruster,Harry*,Lawrence
cassidy-lyn+man+law,Cassidy,Bernard J.,Lawrence
clark-man+law,Clark,W. Winfield*,Lawrence
cote-man+law,Cote,Henry J.*,Lawrence
cross-low+man+nas,Cross,G. Lewis*,Lawrence
knau-man+law,Knau,Louis,Lawrence
merritt-low+law,Merritt,William H.*,Lawrence
morrissey-law,Morrissey,Thomas,Lawrence
page-man+law,Page,"Wilfred H. ""Billy""",Lawrence
sanderson-nas+law,Sanderson,John F.,Lawrence
