person.key,person.name.last,person.name.first,entry.name
kent-exc,Kent,E. H.,#league
selby-exc,Selby,,#league
anderson-ump,Anderson,O.,#umpire
eagan-ump,Eagan,,#umpire
harris-ump,Harris,,#umpire
irvine-ump,Irvine,,#umpire
long-ump,Long,,#umpire
murphy-scb+win+dul,Murphy,"John J. ""Checkers""",#umpire
quigg-ump,Quigg,,#umpire
baker-win+cro,Baker,Louis M.,Crookston
brekke-cro,Brekke,O.,Crookston
burke-cro,Burke,,Crookston
capron-cro,Capron,George Henry,Crookston
collette-cro,Collette,Dennis Benjamin,Crookston
davies-cro,Davies,N. S.,Crookston
dorn-cro,Dorn,Peter,Crookston
drennan-cro,Drennan,Calvin,Crookston
dunn-cro,Dunn,Mart,Crookston
fitzsimmons-cro+gf,Fitzsimmons,J.,Crookston
grandish-cro,Grandish/Grodenich,,Crookston
grandish-cro,Grandish,,Crookston
grandish-cro,Grodenich,,Crookston
harris-cro+scb+sup,Harris,William L.,Crookston
hoover-cro+sup,Hoover,Lloyd,Crookston
johnston-win+cro,Johnston,C. F.,Crookston
kaltenback-cro,Kaltenback,Harold,Crookston
kilcey-cro,Kilcey,,Crookston
leighty-cro+win,Leighty,"James Lee ""Jim""",Crookston
little-cro,Little,,Crookston
livingstone-cro,Livingstone,L. L.,Crookston
ludwig-cro,Ludwig,Arthur L.,Crookston
maloney-win+cro,Maloney,John C.,Crookston
martin-cro,Martin,,Crookston
mcneil-cro,McNeil,"William H. ""Will""",Crookston
mueller-gf+cro+sup+win,Mueller,,Crookston
mullen-cro+dul,Mullen,,Crookston
murphy-cro,Murphy,,Crookston
olson-cro,Olson,"John ""Ole""",Crookston
potts-dul+sup+win+cro,Potts,Dennis,Crookston
reeves-cro,Reeves,,Crookston
ripley-scb+sup+cro,Ripley,Frank,Crookston
roy-cro,Roy,L.,Crookston
schlatter-cro,Schlatter,"Edward ""Ed""",Crookston
smith.m-far+cro,Smith,M. C.,Crookston
sorenson-cro+sup,Sorenson,Walter W.,Crookston
speery-cro,Speery,G. ,Crookston
speiser-scb+sup+cro,Speiser,A. Frank,Crookston
stephens-cro,Stephens,,Crookston
waukenshawn-cro,Waukenshawn,,Crookston
williams-cro,Williams,,Crookston
wing-scb+sup+cro,Wing,Fred W.,Crookston
zeider-cro+win,Zeider,Rollie H.*,Crookston
bennett-dul,Bennett,"Simon ""Si""",Duluth
bradley-win+gf+dul,Bradley,"James ""Jim""",Duluth
dougar-dul,Dougar,,Duluth
erickson-dul,Erickson,"Eric Edward ""Ed""",Duluth
feye-dul,Feye,George,Duluth
freeman-dul,Freeman,"George J. ""Buck""",Duluth
irwin-dul,Irwin,"""Scamper""",Duluth
jarvie-far+dul+gf,Jarvie,John,Duluth
kehoe-dul,Kehoe,,Duluth
kennelly-dul,Kennelly,"William J. ""Butch""",Duluth
lowe-dul,Lowe,Earl F.,Duluth
mcaleese-dul,McAleese,Daniel A.,Duluth
mcshane-dul+sup,McShane,Michael R.,Duluth
menice-dul,Menice,Samuel Vint,Duluth
miller.jl-dul,Miller,"J. L. ""Lefty""",Duluth
miller.jos-dul,Miller,"Joseph ""Joe""",Duluth
mullen-cro+dul,Mullen,,Duluth
murphy-scb+win+dul,Murphy,"John J. ""Jack"" ""Checkers""",Duluth
nealon-dul,Nealon,,Duluth
nehr-scb+far+dul,Nehr,"Edward ""Eddie""",Duluth
neighbors-dul,Neighbors,"Cecil F. ""Cy""*",Duluth
newman-dul,Newman,"John P. ""Sox""",Duluth
odea-dul,O'Dea,"Arthur ""Artie""",Duluth
odea-dul,O'Dea,Arthur,Duluth
peterson-win+dul,Peterson,,Duluth
potter-dul,Potter,Harry,Duluth
potts-dul+sup+win+cro,Potts,Dennis,Duluth
powell-dul,Powell,B. W.,Duluth
summers-dul,Summers,Frank A.,Duluth
symons-dul,Symons,"Charles M. ""Cy""",Duluth
vanpraugh-dul,Van Praugh,Leonard,Duluth
weiler-dul,Weiler,Frederick M.,Duluth
zemich-dul,Zemich,E.,Duluth
alberts-far,Alberts,Ed,Fargo
aronson-far,Aronson,,Fargo
berrigan-far,Berrigan,"Edward ""Ed""",Fargo
cochems-far,Cochems,,Fargo
corrigan-far,Corrigan,Frank,Fargo
dolan-far,Dolan,"Leon M. ""Biddy""*",Fargo
donovan-far+win,Donovan,,Fargo
finnegan-far,Finnegan,P. H.,Fargo
fitzgerald-far,Fitzgerald,George J.,Fargo
french-far+sup,French,F. D.,Fargo
fuller-far,Fuller,R. H.,Fargo
