person.key,person.name.last,person.name.first,entry.name
lucas-exc,Lucas,William H.,#league
derrick-ump,Derrick,,#umpire
drennan-bel,Drennan,Kirby John,#umpire
huston-eve,Huston,"John ""Jack""",#umpire
mcrea-ump,McRea,John,#umpire
schock-eve+van,Schock,Fred C.,#umpire
treadway-ump,Treadway,George B.*,#umpire
brinker-bel,Brinker,"William H. ""Dode""*",Bellingham
bristow-vic+spo+bel,Bristow,George G.*,Bellingham
califf-bel,Califf,Evelyn S.,Bellingham
carter-eve+bel,Carter,"Charles R. ""Duke""",Bellingham
clark-bel,Clark,"Alfred R. ""Dad""*",Bellingham
donovan-van+bel,Donovan,Billy,Bellingham
downey-bel,Downey,Thomas Charles,Bellingham
drennan-bel,Drennan,"Kirby John ""Jack""",Bellingham
drew-bel,Drew,,Bellingham
druhot-bel,Druhot,"Carl A. ""Colly""*",Bellingham
dudley-bel+vic,Dudley,Roy,Bellingham
duggan-bel,Duggan,,Bellingham
james-bel,James,"Robert E. ""Bobby""",Bellingham
jansa-bel+vic,Jansa,Frank,Bellingham
kelsey-bel,Kelsey,"George W. ""Billy""*",Bellingham
kennedy-bel,Kennedy,Ed,Bellingham
king-bel,King,H. A.,Bellingham
lent-bel,Lent,,Bellingham
mahon-bel,Mahon,Eugene Joseph,Bellingham
nonnenbacher-bel,Nonnenbacher,,Bellingham
spencer-bel,Spencer,"Frank J. ""Stub""",Bellingham
steele-eve+bel,Steele,A. L.,Bellingham
stickney-spo+bel,Stickney,"A. Lincoln ""Link""",Bellingham
altman-eve,Altman,"Joseph Jacob ""Joe""",Everett
belt-eve,Belt,"Harry H. ""Hick""",Everett
bevins-eve,Bevins,,Everett
brahan-eve,Brahan,,Everett
brundage-eve,Brundage,,Everett
burns-eve,Burns,"John J. ""Jack""*",Everett
carter-eve+bel,Carter,"Charles R. ""Duke""",Everett
cook-eve,Cook,,Everett
doyle-eve,Doyle,"Thomas E. ""Tommy""",Everett
erle-eve+vic+spo,Erle,"Albert Henry ""Al""",Everett
ford.e-vic+eve,Ford,"Edward ""Eddie""",Everett
hanson-eve,Hanson,George W.,Everett
heitmuller-eve,Heitmuller,"William F. ""Heinie""*",Everett
hulen-eve,Hulen,"William F. ""Billy""*",Everett
huston-eve,Huston,"John ""Jack""",Everett
irby-vic+spo+eve,Irby,Charles T.,Everett
jacobs-eve+vic+spo,Jacobs,,Everett
mackey-eve,Mackey,"John ""Cheese""",Everett
mcinnes-eve,McInnes,Hector,Everett
pringle-eve,Pringle,,Everett
raymond-eve,Raymond,"Frank C. ""Tealy""",Everett
rowan-eve,Rowan,"David ""Dave""*",Everett
schock-eve+van,Schock,Fred C.,Everett
steele-eve+bel,Steele,A. L.,Everett
strub-eve,Strub,Dr. Charles Henry,Everett
suess-eve+vic+spo,Suess,"Frank Jacob ""Doc""",Everett
sullivan-eve,Sullivan,,Everett
yeasell-eve,Yeasell,Lefty,Everett
baer-spo,Baer,,Spokane
bristol-vic+spo,Bristol*,,Spokane
bristow-vic+spo+bel,Bristow,George G.*,Spokane
cutter-spo,Cutter,"Winthrop ""Win""",Spokane
dashwood-spo,Dashwood,Walter E.,Spokane
driscoll-spo,Driscoll,,Spokane
duggan-spo,Duggan,Clarence E. F.,Spokane
egan-vic+spo,Egan,Dick*,Spokane
erle-eve+vic+spo,Erle,"Albert Henry ""Al""",Spokane
ferris-spo,Ferris,George Martin,Spokane
franklin-vic+spo,Franklin,Ernest M.,Spokane
hutchinson-vic+spo,Hutchinson,"Edwin F. ""Ed""",Spokane
irby-vic+spo+eve,Irby,Charles T.,Spokane
jacobs-eve+vic+spo,Jacobs,,Spokane
longnecker-spo,Longnecker,,Spokane
martinke-vic+spo,Martinke,Felix,Spokane
mcintyre-spo,McIntyre,"Charles F. ""Butch""",Spokane
mcintyre-spo,McIntyre,Charles,Spokane
mcmanus-vic+spo,McManus,,Spokane
