person.key,person.name.last,person.name.first,entry.name
farrell-exc,Farrell,John H.,#league
buckley-ump,Buckley,,#umpire
campau-bin+ump,Campau,Charles C.*,#umpire
conahan-ump,Conahan,Eddie,#umpire
franklin-ump,Franklin,,#umpire
gunnell-ump,Gunnell,,#umpire
mccormick-ump,McCormick,,#umpire
sullivan-ump,Sullivan,William J.,#umpire
wood-ump,Wood,George A.*,#umpire
barnett-alb,Barnett,John F.,Albany
barry-alb,Barry,Thomas,Albany
bowers-alb+bin,Bowers,D. (Rube),Albany
braun-alb,Braun,William,Albany
busse-alb,Busse,Carlton Tilton,Albany
cargo-alb,Cargo,Charles (Chick),Albany
connor-alb,Connor,James M.*,Albany
dillon-alb,Dillon,John J. (Jack),Albany
doherty-alb,Doherty,Michael J.,Albany
fitzhenry-alb,Fitzhenry,John,Albany
flater-alb,Flater,John W.*,Albany
fox-alb+tro,Fox,Augustus (Gus),Albany
garry-scr+alb,Garry,James,Albany
garry-scr+alb,Garry,James T.*,Albany
greene-alb,Greene,Patrick J. (Paddy)*,Albany
kelly-alb,Kelley (Kelly),R,Albany
kroh-alb,Kroh,Floyd M. (Rube)*,Albany
lennon-alb,Lennon,Patrick Francis (Pat),Albany
mcdonald-alb,McDonald,Edward C.*,Albany
mock-alb,Mock,Homer V.,Albany
mullin-alb+syr,Mullin,John. F. (Lefty),Albany
nichols-alb,Nichols,Arthur F.*,Albany
pastorius-alb,Pastorius,James W.*,Albany
russell-alb,Russell,John  A.,Albany
schrall-alb+scr,Schrall,Joseph E.,Albany
spiesman-alb,Spiesman,Matthew J.,Albany
bell-ajg,Bell,George G.*,Amsterdam-Johnstown-Gloversville
childs-ajg,Childs,Peter P. *,Amsterdam-Johnstown-Gloversville
clay-ajg,Clay,Waldo H.,Amsterdam-Johnstown-Gloversville
cox-ajg,Cox,James Francis,Amsterdam-Johnstown-Gloversville
eagan-ajc,Eagan,Patrick Peter (Pete),Amsterdam-Johnstown-Gloversville
earl-ajg,Earl,Howard J.*,Amsterdam-Johnstown-Gloversville
frank-ajg,Frank,Edward L.,Amsterdam-Johnstown-Gloversville
hilley-ajg,Hilley,"Edward G, (Whitey)*",Amsterdam-Johnstown-Gloversville
horton-ajg,Horton,Elmer E.*,Amsterdam-Johnstown-Gloversville
hurley-ajg,Hurley,Jeremiah (Jerry)*,Amsterdam-Johnstown-Gloversville
maurer-ajg+syr,Maurer,Bernard F. (Bernie),Amsterdam-Johnstown-Gloversville
mcpartlin-ajg,McPartlin,Frank J.*,Amsterdam-Johnstown-Gloversville
pinnance-ajg+tro,Pinnance,Elijah Edward*,Amsterdam-Johnstown-Gloversville
simon-ajg,Simon,Henry J.*,Amsterdam-Johnstown-Gloversville
stroh-ajg,Stroh,George J.,Amsterdam-Johnstown-Gloversville
villeman-ajg,Villeman,George,Amsterdam-Johnstown-Gloversville
weaver-ajg,Weaver,John H. (Buck),Amsterdam-Johnstown-Gloversville
zinzer-ajg,Zinzer,Charles,Amsterdam-Johnstown-Gloversville
baker-bin,Baker,Howard William,Binghamton
barger-bin,Barger,Eros B. (Cy)*,Binghamton
barries-bin,Barries,,Binghamton
barthold-bin,Barthold,John F.*,Binghamton
bayne-bin,Bayne,Alvin. B.  (Brindle),Binghamton
bowers-alb+bin,Bowers,D. (Rube),Binghamton
campau-bin+ump,Campau,Charles C.  (Count)*,Binghamton
campau-bin+ump,Campau,Charles C.*,Binghamton
dorgan-bin,Dorgan,William J. (Willie),Binghamton
driscoll-scr+bin,Driscoll,C. C.,Binghamton
driscoll-scr+bin,Driscoll,Charles C.,Binghamton
drury-bin,Drury,Robert Blu,Binghamton
drury-bin,Druby,Robert Blu,Binghamton
farley-bin,Farley,Edward Lorimer,Binghamton
fohl-bin,Fohl,Leo A. (Lee)*,Binghamton
fuller-bin,Fuller,Charles F.*,Binghamton
glavin-bin,Glavin,Edward,Binghamton
hannivan-bin,Hannivan,Patrick James*,Binghamton
hershey-wb+bin,Hershey,Frank*,Binghamton
mccabe-bin,McCabe,Frank James (Jim),Binghamton
messerly-bin,Messerly,John A. (Jack),Binghamton
miller-bin,Miller,Roy O.*,Binghamton
raidy-bin,Raidy,Joseph M. (Joe),Binghamton
ramsey-bin,Ramsey,George Wash. (Buck),Binghamton
schaefer-bin,Schaefer,,Binghamton
shoch-bin,Shoch,George Q.*,Binghamton
smythe-bin,Smythe,Henry W.,Binghamton
spates-bin,Spates,Frank William,Binghamton
viau-bin,Viau,Leon A.*,Binghamton
welch-bin,Welch,Harry A.,Binghamton
willig-bin,Willig,Louis K.,Binghamton
willis-bin,Willis,Delaware James,Binghamton
amole-syr+uti+scr,Amole,Morris G. (Doc),Scranton
ashenbach-scr,Ashenbach,Edward Michael,Scranton
