person.key,person.name.last,person.name.first,entry.name
morton-exc,Morton,Charles H.*,#league
england-ump,England,,#umpire
evans-ump,Evans,,#umpire
list-ump,List,William,#umpire
otoole-ump,O'Toole,,#umpire
sump-lan+ump,Sump,William,#umpire
taylor-ump,Taylor,,#umpire
wilson-ump,Wilson,,#umpire
bedur-akr,Bedur,F. A. Otto,Akron
belden-akr,Belden,William,Akron
callahan-akr+mck,Callahan,James Timothy*,Akron
christian-akr,Christian,John Tyler,Akron
dithridge-akr,Dithridge,William George,Akron
doubles-akr,Doubles,John Franklin,Akron
east-akr,East,Walter Rufus,Akron
east-akr,East,Walter,Akron
kommer-akr,Kommer,"William Haig ""Billy""",Akron
kunkel-akr+lan,Kunkel,Harry Frances,Akron
lalonge-akr,LaLonge,"Lewis M. ""Mickey""",Akron
limric-akr,Limric,James G.,Akron
long-akr,Long,Frank J.,Akron
nolan-mas+akr,Nolan,John W.,Akron
ortlieb-akr+nil,Ortlieb,"Herman ""Doggie""",Akron
schwartz-akr+nil,Schwartz,"William C. ""Bill""*",Akron
snyder-akr,Snyder,,Akron
strood-akr,Strood,"Fred ""Teddy""",Akron
bailey-bra,Bailey,Murphy,Braddock
brisbine-bra,Brisbine,Frank,Braddock
bruckmiller-bra,Bruckmiller,"Andrew ""Andy""*",Braddock
burke-mas+bra,Burke,Frank,Braddock
castle-mas+bra,Castle,Ben,Braddock
crum-mck+bra,Crum,Walter Ignatius,Braddock
cushman-bra,Cushman,Harvey B.*,Braddock
davies-bra,Davies,Lloyd,Braddock
edmundson-bra,Edmundson,Mays M.,Braddock
hughes-bra,Hughes,Tommy,Braddock
james-bra,James,William A.,Braddock
keller-bra,Keller,Harry N.,Braddock
mchale-bra,McHale,R. C.,Braddock
mckim-bra,McKim,Donald,Braddock
porter-bra,Porter,"Carl A. ""Pete""",Braddock
ralston-bra,Ralston,,Braddock
sandherr-bra,Sandherr,Nelson W.,Braddock
shelby-bra,Shelby,Dave,Braddock
smith-bra,Smith,"Sam ""Sammy""",Braddock
sweeney-bra,Sweeney,"Patrick ""Pat""",Braddock
tate-bra,Tate,,Braddock
