person.key,person.name.last,person.name.first,entry.name
atz-por+la,Atz,,Los Angeles
baum-la,Baum,,Los Angeles
bernard-la,Bernard,,Los Angeles
brashear-la,Brashear,,Los Angeles
conrad-por+la,Conrad,,Los Angeles
cravath-la,Cravath,,Los Angeles
dillon-la,Dillon,,Los Angeles
eager-la,Eager,,Los Angeles
flood-la,Flood,,Los Angeles
goodwin-la,Goodwin,,Los Angeles
gray-la,Gray,,Los Angeles
hall-la,Hall,W.,Los Angeles
nagle-la,Nagle,,Los Angeles
ross-la,Ross,,Los Angeles
schafly-por+la,Schafly,,Los Angeles
smith-la,Smith,,Los Angeles
spies-la,Spies,,Los Angeles
toman-la,Toman,,Los Angeles
tozier-la,Tozier,,Los Angeles
blexrud-oak,Blexrud,,Oakland
byrnes-oak,Byrnes,,Oakland
cook-oak,Cook,,Oakland
croll-oak+sea,Croll,,Oakland
devereaux-oak,Devereaux,,Oakland
dunleavy-oak,Dunleavy,,Oakland
frank-oak,Frank,,Oakland
graham-oak,Graham,O.,Oakland
hackett-oak,Hackett,,Oakland
hogan-oak,Hogan,W.,Oakland
iburg-oak,Iburg,,Oakland
kelley-oak,Kelley,,Oakland
kruger-oak,Kruger,,Oakland
mcmurray-oak,McMurray,,Oakland
moskiman-oak,Moskiman,,Oakland
richards-oak+sea,Richards,,Oakland
runkle-sea+oak,Runkle,,Oakland
schmidt-oak,Schmidt,,Oakland
stanley-oak,Stanley,,Oakland
streib-oak+sea,Streib,,Oakland
vanhaltren-oak,Van Haltren,,Oakland
atz-por+la,Atz,,Portland
califf-por,Califf,,Portland
cates-por,Cates,,Portland
clark-por,Clark,,Portland
conrad-por+la,Conrad,,Portland
corbett-por,Corbett,Ted,Portland
essick-por,Essick,,Portland
ferry-por,Ferry,,Portland
fleming-por,Fleming,,Portland
french-por,French,,Portland
garvin-por,Garvin,,Portland
householder-por+sf,Householder,,Portland
jones-por,Jones,B.,Portland
mccredie-por,McCredie,,Portland
mchale-sea+por,McHale,,Portland
mclean-por,McLean,,Portland
mitchell-por,Mitchell,,Portland
schafly-por+la,Schafly,,Portland
suess-por,Suess,,Portland
sweeney-por,Sweeney,,Portland
vanburen-por,Van Buren,,Portland
goehnauer-sf,Goehnauer,,San Francisco
henley-sf,Henley,,San Francisco
hildebrand-sf,Hildebrand,,San Francisco
hitt-sf,Hitt,,San Francisco
householder-por+sf,Householder,,San Francisco
irwin-sf,Irwin,,San Francisco
miller.r-sf+sea,Miller,,San Francisco
mohler-sf,Mohler,,San Francisco
nealon-sf,Nealon,,San Francisco
shea-sf,Shea,,San Francisco
spencer-sf,Spencer,,San Francisco
waldron-sf,Waldron,,San Francisco
walters-sf+sea,Walters,I.,San Francisco
whalen-sf,Whalen,,San Francisco
wheeler-sf,Wheeler,,San Francisco
williams-sea+sf,Williams,,San Francisco
wilson-sf,Wilson,,San Francisco
bennett-sea,Bennett,,Seattle
blankenship-sea,Blankenship,,Seattle
burns-sea,Burns,,Seattle
croll-oak+sea,Croll,,Seattle
dashwood-sea,Dashwood,,Seattle
fitzpatrick-sea,Fitzpatrick,,Seattle
frary-sea,Frary,,Seattle
frick-sea,Frick,,Seattle
hall.c-sea,Hall,C.,Seattle
hall.r-sea,Hall,R.,Seattle
hart-sea,Hart,,Seattle
houtz-sea,Houtz,,Seattle
james-sea,James,,Seattle
kane-sea,Kane,,Seattle
kemmer-sea,Kemmer,,Seattle
lauterborn-sea,Lauterborn,,Seattle
mchale-sea+por,McHale,,Seattle
miller.d-sea,Miller,D.,Seattle
miller.r-sf+sea,Miller,,Seattle
obrien-sea,O'Brien,,Seattle
richards-oak+sea,Richards,,Seattle
roach-sea,Roach,,Seattle
runkle-sea+oak,Runkle,,Seattle
shields-sea,Shields,,Seattle
streib-oak+sea,Streib,,Seattle
vickers-sea,Vickers,,Seattle
walters-sf+sea,Walters,I.,Seattle
williams-sea+sf,Williams,,Seattle
brown-tac,Brown,,Tacoma
casey-tac,Casey,,Tacoma
doyle-tac,Doyle,,Tacoma
eagan-tac,Eagan,,Tacoma
emerson-tac,Emerson,,Tacoma
fitzgerald-tac,Fitzgerald,,Tacoma
graham-tac,Graham,C.,Tacoma
hogan-tac,Hogan,W. B.,Tacoma
keefe-tac,Keefe,,Tacoma
lynch-tac,Lynch,,Tacoma
mclaughlin-tac,McLaughlin,,Tacoma
nordyke-tac,Nordyke,,Tacoma
sheehan-tac,Sheehan,,Tacoma
thomas-tac,Thomas,,Tacoma
