person.key,person.name.last,person.name.first,entry.name
kavanaugh-exc,Kavanaugh,Judge W. M.,#league
bassett-ump,Bassett,F. H.,#umpire
black-ump,Black,Robert W.,#umpire
burke-ump,Burke,"Joe ""Calliope""",#umpire
carpenter-ump,Carpenter,William Bernard,#umpire
ehret-ump,Ehret,Philip S.,#umpire
mclaughlin-ump,McLaughlin,M. F.,#umpire
pfenninger-ump,Pfenninger,Daniel G.,#umpire
scheibeck-mon+lr+ump,Scheibeck,Frank S.,#umpire
anderson-atl+bir,Anderson,Smylie Scott,Atlanta
archer-atl,Archer,James P.*,Atlanta
ayre-lr+atl,Ayre (Ayres),,Atlanta
brennan-atl,Brennan,John A. (Jack),Atlanta
burnam-atl,Burnam,"Fred B., Jr.",Atlanta
butler-atl+bir,Butler,Isaac B.*,Atlanta
cottingham-atl,Cottingham,,Atlanta
crozier-atl,Crozier,J. Richard (Dick),Atlanta
ely-atl+nas,Ely,John W. (Jack),Atlanta
fox-atl,Fox,Cole,Atlanta
jackson-atl,Jackson,Charles Wesley,Atlanta
jordan-atl,Jordan,A. Otto*,Atlanta
krug-atl,Krug,Henry C.*,Atlanta
mccay-atl,McCay,Bernard William,Atlanta
mcmakin-atl+mon,McMakin,John W.*,Atlanta
moren-atl,Moren,Lewis H.*,Atlanta
morse-atl,Morse,Frank  (Whitey),Atlanta
noblett-atl,Noblett,J. Albert,Atlanta
raymond-atl,Raymond,Arthur L. (Bugs)*,Atlanta
rickert-atl,Rickert,Joseph F.*,Atlanta
shea-atl,Shea,Dennis J.,Atlanta
smith-atl,Smith,Charles E.*,Atlanta
stafford-atl,Stafford,Robert Lee,Atlanta
winters-atl,Winters,George,Atlanta
zeller-atl,Zeller,Peter W. (Rube),Atlanta
adkins-bir,Adkins,,Birmingham
alcock-bir,Alcock,J. Forbes*,Birmingham
anderson-atl+bir,Anderson,Smylie Scott,Birmingham
butler-atl+bir,Butler,Isaac B.*,Birmingham
clark.h-bir,Clark,Harvey D. (Ginger)*,Birmingham
clark.r-bir,Clark,Richard (Cowboy),Birmingham
clark.w-bir,Clark,Wilkie Collins,Birmingham
delahanty-bir,Delahanty,Frank G.*,Birmingham
dessau-bir,Dessau,Frank R.*,Birmingham
fitzpatrick-bir,Fitzpatrick,Matt,Birmingham
gardner-mon+bir+lr,Gardner,L. Curtis (Rube),Birmingham
hafford-bir,Hafford,Francis A. (Frank),Birmingham
hennessey-bir,Hennessey,Joseph C.,Birmingham
matthews-bir,Matthews,Harry,Birmingham
mcgrew-bir,McGrew,Harry Hancock (Ted),Birmingham
miller-bir,Miller,Charles B. (Dusty)*,Birmingham
montgomery-bir,Montgomery,Roy M.,Birmingham
moore-bir,Moore,Fred,Birmingham
murch-bir,Murch,Robert J.,Birmingham
murdock-bir,Murdock,Wilbur Edwin,Birmingham
niles-bir,Niles,Herbert C. (Harry)*,Birmingham
pylant-bir,Pylant,W. Vanderbilt,Birmingham
ragan-bir,Ragan,Arthur Ed.*,Birmingham
sallee-bir,Sallee,Harry F. (Slim)*,Birmingham
schippacasse-bir,Schippacasse,Louis J.*,Birmingham
smith-bir,Smith,Carlos,Birmingham
stultz-mon+bir,Stultz,George I.*,Birmingham
tarleton-bir,Tarleton,Robert Samuel,Birmingham
vaughn-bir,Vaughn,Harry F.*,Birmingham
wagner-bir,Wagner,Otto,Birmingham
wawrd-bir,Ward,Frank G. (Piggy)*,Birmingham
welch-bir,Welch,(Conrad?),Birmingham
accorsini-nas+lr,Accorsini,Victor Joseph,Little Rock
ayre-lr+atl,Ayre (Ayres),,Little Rock
becker-lr,Becker,D. Beals*,Little Rock
bender-lr,Bender,John Reinhold,Little Rock
blake-lr,Blake,William,Little Rock
bolin-lr+no,Bolin,John H.,Little Rock
chinn-lr,Chinn,Thomas William,Little Rock
collins-mem+lr,Collins,Orth S.*,Little Rock
dearmond-lr,DeArmond,Charles H.*,Little Rock
gardner-mon+bir+lr,Gardner,L. Curtis (Rube),Little Rock
garvin-lr,Garvin,Lee Michael,Little Rock
gaston-lr+no,Gaston,William David,Little Rock
gear-lr,Gear,Dale D.*,Little Rock
guese-lr,Guese,Theodore (Whitey)*,Little Rock
hale-lr,Hale,Eddie,Little Rock
hartman-lr,Hartman,William G.,Little Rock
holland-lr,Holland,John,Little Rock
hood-lr,Hood,G. W.,Little Rock
hottum-lr,Hottum,John C.,Little Rock
hurley-lr,Hurley,William Joseph,Little Rock
johnson-lr,Johnson,Otis L.,Little Rock
kellackey-nas+lr,Kellackey,Hugh W.,Little Rock
mccann-lr,McCann,Michael J.,Little Rock
mcfarlan-nas+lr,McFarlan,A. Daniel*,Little Rock
meredith-lr,Meredith,Elmer,Little Rock
murray-lr,Murray,Ernest M.,Little Rock
nickens-nas+lr,Nickens,Harry,Little Rock
reading-lr,Reading,Charles A.,Little Rock
rothermel-lr,Rothermel,Edward H. (Bobby)*,Little Rock
samms-lr,Samms,,Little Rock
schaefer-lr,Schaefer,,Little Rock
scheibeck-mon+lr+ump,Schiebeck,Frank S.*,Little Rock
secrist-lr,Secrist,,Little Rock
taylor-lr,Taylor,William H. (Billy)*,Little Rock
watt-lr,Watt,George,Little Rock
welday-lr,Welday,Lyndon E. (Mike)*,Little Rock
alexander-mem,Alexander,William S.,Memphis
biecher-mem,Biecher,Edward*,Memphis
boyd-mem,Boyd,Graham,Memphis
brown-mem,Brown,James A. (Farmer),Memphis
clarke-mem,Clarke,,Memphis
collins-mem+lr,Collins,Orth S.*,Memphis
duffy-mem,Duffy,John James,Memphis
dungan-mem,Dungan,Samuel M.*,Memphis
gannon-mem,Gannon,William P.*,Memphis
goodwin-mem,Goodwin,Arthur I.*,Memphis
herr-mem,Herr,Edward Joseph,Memphis
hurlburt-mem,Hurlburt,Edward,Memphis
petit-mem,Petit,Andrew E.,Memphis
rafter-mem,Rafter,John C.*,Memphis
still-mem,Still,Frank L.,Memphis
stocksdale-mem,Stocksdale,Otis H.*,Memphis
streit-mem+nas,Streit,Oscar W.*,Memphis
suggs-mem,Suggs,George F.*,Memphis
tamsett-mem,Tamsett,James Edward,Memphis
thatcher-mem,Thatcher,U. Grant*,Memphis
walters-mem,Walters,Lewis (Lew),Memphis
whistler-mem,Whistler,Lewis W.*,Memphis
barry-mon,Barry,,Montgomery
brandt-mon,Brandt,William (Willie),Montgomery
brouthers-mon,Brouthers,Arthur H.*,Montgomery
busch-mon,Busch,Henry Ed,Montgomery
bussey-mon,Bussey,Harvey L.,Montgomery
durrett-mon,Durrett,Isaac H. (Ike),Montgomery
durrett-mon,Durrett,Isaac H.,Montgomery
gardner-mon+bir+lr,Gardner,L. Curtis (Rube),Montgomery
hale-mon,Hale,Ray L.*,Montgomery
lawler-mon,Lawler,John M. (Jack),Montgomery
lee-mon,Lee,John M.,Montgomery
lynch-mon,Lynch,Henry W.*,Montgomery
manners-mon,Manners,Harry,Montgomery
mcmakin-atl+mon,McMakin,John W.*,Montgomery
mcphillips-mon,McPhillips,Matthew,Montgomery
millerick-mon,Millerick,Patrick T.,Montgomery
molesworth-mon,Molesworth,Carleton,Montgomery
mullaney-mon,Mullaney,Dominic Joseph,Montgomery
obrien-mon,O'Brien,Tom H.*,Montgomery
oldring-mon,Oldring,Reuben H.*,Montgomery
scheibeck-mon+lr+ump,Schiebeck,Frank S.*,Montgomery
schwartz-mon,Schwartz,Charles,Montgomery
shannon-mon,Shannon,John Francis*,Montgomery
shaughnessy-mon,Shaughnessy,Francis J.*,Montgomery
starkel-mon,Starkel,Conrad*,Montgomery
stultz-mon+bir,Stultz,George I.*,Montgomery
thornton-mon,Thornton,Woody Austin,Montgomery
yeager-mon,Yeager,George J.*,Montgomery
accorsini-nas+lr,Accorsini,Victor Joseph,Nashville
adams-nas,Adams,Clyde,Nashville
bailey-nas+no,Bailey,Harvey F. (Doc)*,Nashville
bandelin-nas,Bandelin,Oscar J.,Nashville
bennett-nas,Bennett,Justin T.*,Nashville
bohanon-nas,Bohanon,L. P. Blackburn,Nashville
bruner-nas,Bruner,William L.,Nashville
bruyette-nas,Bruyette,Edward T.*,Nashville
clark-nas,Clark,William (Wild Bill),Nashville
downing-nas,Downing,Patrick,Nashville
elsey-nas,Elsey,Charles H.,Nashville
ely-atl+nas,Ely,John W. (Jack),Nashville
finn-nas,Finn,Michael J.,Nashville
fisher-nas,Fisher,Newton*,Nashville
frickie-nas,Frickie,George A.,Nashville
granville-nas,Granville,Arthur C.,Nashville
herman-nas,Herman,Arthur*,Nashville
jansing-nas,Jansing,Henry A.,Nashville
kanzler-nas,Kanzler,Jay F.,Nashville
keenan-nas,Keenan,Joseph W.,Nashville
kellackey-nas+lr,Kellackey,Hugh W.,Nashville
lally-nas,Lally,Daniel J.*,Nashville
lewis-nas,Lewis,Earl,Nashville
mcfarlan-nas+lr,McFarlan,A. Daniel*,Nashville
nickens-nas+lr,Nickens,Harry,Nashville
norcum-nas,Norcum,Frank H.,Nashville
perdue-nas,Perdue,Herbert R. (Hub)+,Nashville
russell-nas,Russell,Rufus Clyde (Red),Nashville
sample-nsa,Sample,Guy O.,Nashville
schwenck-nas,Schwenck,Rudolph C.*,Nashville
streit-mem+nas,Streit,Oscar W.*,Nashville
swindells-nas,Swindells,Charles J.*,Nashville
tilford-nas,Tilford,James Weir,Nashville
wiseman-nas,Wiseman,Julius A. (Doc),Nashville
bailey-nas+no,Bailey,Harvey F. (Doc)*,New Orleans
beck-no,Beck,Ervin F.*,New Orleans
bolin-lr+no,Bolin,John H.,New Orleans
breitenstein-no,Breitenstein,Theodore P.*,New Orleans
bridges-no,Bridges,Marvin O.,New Orleans
dannehower-no,Dannehower,J. Harry,New Orleans
duke-no,Duke,Thomas. W.,New Orleans
dygert-no,Dygert,James H.*,New Orleans
fisher-no,Fisher,Bates,New Orleans
frank-no,Frank,Charles*,New Orleans
gaston-lr+no,Gaston,William David,New Orleans
genins-no,Genins,C. Frank*,New Orleans
glendon-no,Glendon,Martin J.*,New Orleans
hahn-no,Hahn,W. Edgar*,New Orleans
holly-no,Holly,Edward W.*,New Orleans
manuel-no,Manuel,Mark G. (Moxie)*,New Orleans
nadeau-no,Nadeau,Phillip,New Orleans
phillips-no,Phillips,William C.*,New Orleans
reynolds-no,Reynolds,Thomas,New Orleans
rohe-no,Rohe,George A.*,New Orleans
stanley-no,Stanley,Joseph B.*,New Orleans
stratton-no,Stratton,Milo,New Orleans
sullivan-no,Sullivan,James Wilson,New Orleans
whitridge-no,Whitridge,Albert,New Orleans
williams-no,Williams,Otto G.*,New Orleans
wilson-no,Wilson,Frank E.*,New Orleans
abstein-shr,Abstein,William H.*,Shreveport
austin-shr,Austin,,Shreveport
bartley-shr,Bartley,William J.*,Shreveport
breitenstein-shr,Breitenstein,William G.,Shreveport
briskey-shr,Briskey,Joseph T.,Shreveport
evans-shr,Evans,John William,Shreveport
fisher-shr,Fisher,Thomas C. (Red)*,Shreveport
fritz-shr,Fritz,Emile,Shreveport
gilks-shr,Gilks,Robert J.*,Shreveport
graffius-shr,Graffius,William J.,Shreveport
hanley-shr,Hanley,George,Shreveport
hess-shr,Hess,Arthur,Shreveport
kennedy-shr,Kennedy,Sherman M.*,Shreveport
miller-shr,Miller,Al,Shreveport
smith-shr,Smith,James A. (Stub)*,Shreveport
sorrells-shr,Sorrells,William S.,Shreveport
swan-shr,Swan,Oscar Kinlock,Shreveport
walker-shr,Walker,Edward H.*,Shreveport
weikart-shr,Weikart,Frank B.,Shreveport
