person.key,person.name.last,person.name.first,entry.name
barrett-gal+sa+beau,Barrett,,Beaumont
everhardt-bea,Everhardt,,Beaumont
gordon-gal+beau,Gordon,,Beaumont
haidt-bea+sa,Haidt,,Beaumont
harris-bea,Harris,,Beaumont
hayes-bea,Hayes,B.,Beaumont
kane-gal+beau,Kane,,Beaumont
kitchens-bea,Kitchens,,Beaumont
longley-bea,Longley,,Beaumont
markley-hou+bea,Markley,,Beaumont
mccall-gal+bea,McCall,,Beaumont
mcfarland-bea,McFarland,,Beaumont
morrow-sa+bea+gal,Morrow,,Beaumont
robb-bea,Robb,,Beaumont
smith.l-bea,Smith,L.,Beaumont
smith.r-bea+sa,Smith,R.,Beaumont
thebo-bea+sa,Thebo,,Beaumont
tullar-bea,Tullar,,Beaumont
white-bea,White,,Beaumont
aiken-gal,Aiken,,Galveston
barrett-gal+sa+beau,Barrett,,Galveston
block-gal,Block,,Galveston
burns-gal,Burns,,Galveston
cavanaugh-gal,Cavanaugh,,Galveston
cermack-gal,Cermack,,Galveston
dixon-gal,Dixon,,Galveston
gordon-gal+beau,Gordon,,Galveston
hise-gal,Hise,,Galveston
horn-gal+sa,Horn,,Galveston
hutchcroft-gal,Hutchcroft,,Galveston
jones-gal,Jones,,Galveston
kane-gal+beau,Kane,,Galveston
kaphan-gal,Kaphan,,Galveston
kemmer-gal,Kemmer,,Galveston
latham-gal,Latham,,Galveston
long-gal+sa,Long,,Galveston
lucid-gal,Lucid,,Galveston
maxwell-gal,Maxwell,,Galveston
mccall-gal+bea,McCall,,Galveston
moran-gal,Moran,,Galveston
morrow-sa+bea+gal,Morrow,,Galveston
page-gal+sa,Page,,Galveston
reuther-gal,Reuther,,Galveston
slater-gal,Slater,,Galveston
smith-gal,Smith,T.,Galveston
tevis-gal,Tevis,,Galveston
westlake-gal,Westlake,,Galveston
briskey-hou,Briskey,,Houston
crawford-hou,Crawford,,Houston
edmondson-hou,Edmondson,,Houston
hunter-hou,Hunter,,Houston
karger-hou,Karger,,Houston
markley-hou+bea,Markley,,Houston
moore-hou,Moore,,Houston
mowry-hou,Mowry,,Houston
nelson-hou,Nelson,C.,Houston
paulig-hou,Paulig,,Houston
sorrell-hou,Sorrell,,Houston
truesdale-hou,Truesdale,,Houston
weber-hou,Weber,,Houston
barrett-gal+sa+beau,Barrett,,San Antonio
bradley-sa,Bradley,,San Antonio
clark-sa,Clark,,San Antonio
dunn-sa,Dunn,,San Antonio
edwards-sa,Edwards,,San Antonio
gardner-sa,Gardner,,San Antonio
haidt-bea+sa,Haidt,,San Antonio
hayes-sa,Hayes,G.,San Antonio
horn-gal+sa,Horn,,San Antonio
lagrave-sa,LaGrave,,San Antonio
long-gal+sa,Long,,San Antonio
mccormick-sa,McCormick,,San Antonio
morris-sal,Morris,,San Antonio
morrow-sa+bea+gal,Morrow,,San Antonio
nelson-sa,Nelson,P.,San Antonio
newnam-sa,Newnam,,San Antonio
page-gal+sa,Page,,San Antonio
pendleton-sa,Pendleton,,San Antonio
petit-sa,Petit,,San Antonio
richardson-sa,Richardson,,San Antonio
roedel-sa,Roedel,,San Antonio
smith.r-bea+sa,Smith,R.,San Antonio
taylor-sa,Taylor,,San Antonio
thebo-bea+sa,Thebo,,San Antonio
vidovich-sa,Vidovich,,San Antonio
