person.key,person.name.last,person.name.first,entry.name
creamer-ump,Creamer,Theodore B.,#league
black-ump,Black,Robt. W.,#umpire
bressler-ump,Bressler,"Harry J. ""Rube""",#umpire
connor-ump,Connor,Tom,#umpire
donovan-ump,Donovan,,#umpire
drauby-ump,Drauby,Jacob C.*,#umpire
england-ump,England,,#umpire
gallagher-ump,Gallagher,,#umpire
gray-ump,Gray,,#umpire
heard-ump,Heard,,#umpire
hickey-ump,Hickey,,#umpire
kelley-ump,Kelley,,#umpire
laird-ump,Laird,,#umpire
malligan-ump,Malligan,,#umpire
mcnamara-ump,McNamara,Bob,#umpire
oneill-ump,O'Neill,,#umpire
smith-ump,Smith,,#umpire
stanton-ump,Stanton,,#umpire
thatcher-ump,Thatcher,Uly. Grant*,#umpire
bates-alt,Bates,James W.,Altoona
dexter-alt,Dexter,,Altoona
dively-alt,Dively,,Altoona
dowd-alt,Dowd,"Thom. J. ""Tommy""*",Altoona
dowling-wpt+har+alt+lan,Dowling,"Patrick V. ""Pat""",Altoona
fisher-alt,Fisher,"Harry P. ""Chick""",Altoona
fox-alt,Fox,"Geo. B. ""Paddy""*",Altoona
franks-alt,Franks,,Altoona
friend-wpt+alt,Friend,"Daniel S. ""Danny""*",Altoona
grubb-alt,Grubb,"Herbert M. ""Bert""",Altoona
hart-alt,Hart,"James J. ""Jimmy""*",Altoona
houser-alt,Houser,"William M. ""Bill""",Altoona
iott-alt,Iott,"Fred. B. ""Happy""*",Altoona
kelley.e-alt+wil,Kelley,E.,Altoona
kennedy-alt,Kennedy,,Altoona
lang-alt,Lang,"John ""Football""",Altoona
magie-alt,Magie,"Jacob D. ""Jake""",Altoona
martin-alt,Martin,A.,Altoona
mcdonald.j-coa+alt,McDonald,Joseph,Altoona
mcneeley-alt+har,McNeeley,"Harris G. ""Hugh""",Altoona
miran-joh+alt+wil,Miran,"John J. ""Jack""",Altoona
pearson-alt,Pearson,"Alexander F. ""Alex""*",Altoona
plank-alt,Plank,Ira David,Altoona
rafferty-alt,Rafferty,,Altoona
rothermel-leb+wil+alt,Rothermel,"Edw. H. ""Bobby""*",Altoona
smith-alt,Smith,"George J. ""Germany""*",Altoona
smith-alt,Smith,"George ""Germany""*",Altoona
stephens-alt,Stephens,James,Altoona
tibbetts-coa+alt,Tibbetts,James,Altoona
weddige-alt,Weddige,"Albert H. ""Al""",Altoona
wiggs-alt,Wiggs,"James A. ""Jimmy""*",Altoona
wilson-alt,Wilson,,Altoona
allemang-coa+sha+joh+wil,Allemang,Harry,Coatesville
arndt-coa,Arndt,Harry J.*,Coatesville
aubrey-coa,Aubrey,"Harry H. ""Chub""*",Coatesville
bowers-coa+sha,Bowers,"D. ""Rube""",Coatesville
brent-coa,Brent,Milford,Coatesville
chilcott-coa,Chilcott,Walter,Coatesville
coffey-coa+sha,Coffey,"Edward B. ""Eddie""",Coatesville
connors-yor+lan+coa+sha,Connors,"Edward J. ""Ed""",Coatesville
dolan-coa,Dolan,John Frank,Coatesville
feeney-coa,Feeney,James F.,Coatesville
fitzgerald-coa,Fitzgerald,E. S.,Coatesville
flock-wpt+cpa,Flock,"Jacob ""Jake""",Coatesville
griffin-har+coa+sha,Griffin,"Stephen J. ""Steve""",Coatesville
herr-coa,Herr,Edward Joseph,Coatesville
jackson-wpt+coa+sha,Jackson,"Herbert B. ""Herb""*",Coatesville
mauch-coa+lan,Mauch,"Albert/Alvin ""Al""",Coatesville
mccoy-coa,McCoy,M. F.,Coatesville
mccrane-coa+sha,McCrane,John,Coatesville
mcdonald.j-coa+alt,McDonald,Joseph,Coatesville
mcdonald.m-coa,McDonald,Malcolm,Coatesville
miller-coa,Miller,(Frank?),Coatesville
moore-coa,Moore,George,Coatesville
pney-coa,P'    ney,,Coatesville
purnell-coa,Purnell,(Jesse*/George?),Coatesville
reisling-coa,Reisling,"Frank C. ""Doc""*",Coatesville
sharpe-coa+sha,Sharpe,"Bayard H. ""Bud""*",Coatesville
shaughnessy-coa,Shaughnessy,"Francis J. ""Shag""*",Coatesville
slattery-coa+sha,Slattery,"John T. ""Jack""*",Coatesville
smith-coa,Smith,William,Coatesville
smith-coa+sha,Smith,"William ""Bill""",Coatesville
stetler-coa,Stetler,J. Percy,Coatesville
sweeney-coa+lan+har,Sweeney,Alex,Coatesville
tibbetts-coa+alt,Tibbetts,James,Coatesville
ward-leb+coa,Ward,"Joseph A. ""Joe""*",Coatesville
williams-coa,Williams,"David O. ""Dave""*",Coatesville
wolfe-coa,Wolfe,Maurice Aloysius,Coatesville
zimmerman-coa,Zimmerman,"Edward D. ""Eddie""*",Coatesville
agnew-har+wil,Agnew ,"Peter Henry ""Pete""",Harrisburg
bonner-har,Bonner,"John ""Jack""",Harrisburg
brackenridge-har+sha,Brackenridge,John G.*,Harrisburg
broderick-har,Broderick,"Matthew T. ""Matty""*",Harrisburg
calhoun-har,Calhoun,"John C. ""Red""*",Harrisburg
calhoun-har,Calhoun,John C.,Harrisburg
campbell-har,Campbell,"William J. ""Billy""*",Harrisburg
connaughton-har,Connaughton,Frank H.*,Harrisburg
davis.e-har+wil,Davis,"Elmer ""Red""",Harrisburg
davis.w-har,Davis,"William J. H. ""Cy""",Harrisburg
donovan-har,Donovan,Jerry,Harrisburg
dorman-har+lan,Dorman,John,Harrisburg
doscher-har,Doscher,"John H., Jr.*",Harrisburg
dowling-wpt+har+alt+lan,Dowling,"Patrick V. ""Pat""",Harrisburg
duffy-lan+har,Duffy,"Thomas ""Tom""",Harrisburg
dyer-har,Dyer,"William H. ""Billy""",Harrisburg
ernst-leb+wil+har+yor,Ernst,"John ""Jack""",Harrisburg
falkenburg-har,Falkenburg,"Frederick P. ""Cy""*",Harrisburg
griffin-har+coa+sha,Griffin,"Stephen J. ""Steve""",Harrisburg
groh-har,Groh,"""Shorty""",Harrisburg
hafford-har+wil,Hafford,"Frank Al ""Chic""",Harrisburg
hagen-har,Hagen,"""Kid""",Harrisburg
hamilton-har,Hamilton,"William R. ""Billy""*",Harrisburg
hamilton-har,Hamilton,"William ""Billy""*",Harrisburg
hartman-har,Hartman,William G.,Harrisburg
hoffman-har,Hoffman,"Harry C. ""Izzy""*",Harrisburg
jerger-har+wil,Jerger,"Joseph ""Joe""",Harrisburg
kennedy-joh+har,Kennedy,,Harrisburg
king-leb+har,King,Frank J.,Harrisburg
leary-leb+har,Leary,"Francis P. ""Frank""*",Harrisburg
lewis-har,Lewis,"Philip ""Phil""*",Harrisburg
mcgeehan-har,McGeehan,"Cornelius B. ""Connie""*",Harrisburg
mcmahon-har,McMahon,"M. D. ""Molly""",Harrisburg
mcneeley-alt+har,McNeeley,"Harris G. ""Hugh""",Harrisburg
morgan-joh+har,Morgan,Russell Hess,Harrisburg
mueller-har,Mueller,"Walter G. ""Baron""",Harrisburg
murray-har,Murray,"James O. ""Jim""*",Harrisburg
nallin-joh+har+wil,Nallin,"Richard Francis ""Dick""",Harrisburg
ohare-har,O'Hare,"Thomas ""Tom""",Harrisburg
omo-har,Omo,Harry William,Harrisburg
osborne-har,Osborne,"Arch J. ""Lefty""",Harrisburg
peterson-har,Peterson,"Robert A. ""Bob""*",Harrisburg
raidy-har,Raidy,"Joseph M. ""Joe""",Harrisburg
sweeney-coa+lan+har,Sweeney,Alex,Harrisburg
tuckey-har,Tuckey,"Thomas H. ""Tom""*",Harrisburg
varney-har,Varney,Lawrence D.*,Harrisburg
venning-yor+har+wil,Venning,,Harrisburg
vinson-har,Vinson,"Ernest A. ""Rube""*",Harrisburg
allemang-coa+sha+joh+wil,Allemang,Harry,Johnstown
anderson-joh,Anderson,"Arthur A. ""Andy""",Johnstown
atherton-joh,Atherton,Charles M. H.*,Johnstown
badel-joh,Badel,"Frederick ""Fred""",Johnstown
belcher-joh,Belcher,,Johnstown
