person.key,person.name.last,person.name.first,entry.name
cleary-ump,Cleary,,#umpire
derr-ump,Derr,,#umpire
glatts-ump,Glats,,#umpire
glatts-ump,Glatts,,#umpire
glatts-ump,Glatts,J.,#umpire
hanks-hag,Hanks,,#umpire
hanks-hag,Haines,,#umpire
hanks.r-ump,Hanks,R.,#umpire
james-ump,James,,#umpire
lawrence-ump,Lawrence,,#umpire
mcatee-ump,McAtee,,#umpire
stratford-ump,Stradford,,#umpire
stratford-ump,Stratford,,#umpire
stratford-ump,Stafford,,#umpire
stratford-ump,Strafford,,#umpire
wagner-ump,Wagner,,#umpire
weimer-ump,Weimer,Dutch,#umpire
bitters-cha+get,Bitters,,Chambersburg
boyle-cha,Boyle,,Chambersburg
clay-cha+get,Clay,,Chambersburg
dorner-cha,Dorner,,Chambersburg
dunn-cha,Dunn,,Chambersburg
dunn-cha,Duren,,Chambersburg
dunn-cha,Durns,,Chambersburg
eilor-cha+han,Eiler,,Chambersburg
eilor-cha+han,Eilor,,Chambersburg
eilor-cha+han,Eyler,,Chambersburg
eilor-cha+han,Eglor,,Chambersburg
eilor-cha+han,Eylor,,Chambersburg
eue-cha,Eue,,Chambersburg
francis-cha,Francis,,Chambersburg
francis-cha,Frances,,Chambersburg
gray-cha,Gray,,Chambersburg
gray-cha,Gary,,Chambersburg
hanks-cha,Hanks,,Chambersburg
holbig-cha,Holbig,,Chambersburg
holbig-cha,Holhig,,Chambersburg
holbig-cha,Holib,,Chambersburg
holbig-cha,Hoebig,,Chambersburg
holbig-cha,Hobig,,Chambersburg
holbig-cha,Holweg,,Chambersburg
holbig-cha,Holvig,,Chambersburg
holbig-cha,Helbig,,Chambersburg
howe-cha,Howe,,Chambersburg
jacobs-get+cha,Jacobs,,Chambersburg
jamison-cha,Jamison,,Chambersburg
jamison-cha,Jameson,,Chambersburg
johnson-cha,Johnson,,Chambersburg
kalsey-cha,Kalsey,,Chambersburg
keefe-cha,Keef,,Chambersburg
keefe-cha,Keefe,,Chambersburg
keefe-cha,Keefer,,Chambersburg
keefe-cha,Keifer,,Chambersburg
keefe-cha,Keiffer,,Chambersburg
kleine-cha,Kline,,Chambersburg
kleine-cha,Klein,,Chambersburg
kleine-cha,Kleine,,Chambersburg
kleskie-cha,Kleskie,,Chambersburg
kleskie-cha,Kleiskie,,Chambersburg
kleskie-cha,Kloskey,,Chambersburg
lawrence-han+cha,Lawrence,,Chambersburg
lockhart-cha,Lockhart,,Chambersburg
masterson-cha,Masterson,,Chambersburg
masterson-cha,Mas'on,,Chambersburg
masterson-cha,Masterman,,Chambersburg
mcmillan-cha,McMillan,,Chambersburg
mecherly-cha,Mecherly,,Chambersburg
mellinger-cha,Mellinger,,Chambersburg
miller-get+cha,Miller,,Chambersburg
moore-cha,Moore,,Chambersburg
moseley-cha,Moseley,,Chambersburg
moseley-cha,Mosely,,Chambersburg
moseley-cha,Moserley,,Chambersburg
moseley-cha,Mosley,,Chambersburg
myers-cha,Myers,,Chambersburg
myers-cha,Meyers,,Chambersburg
philips-cha,Phillips,,Chambersburg
plitt-han+cha,Plitt,,Chambersburg
poune-cha,Paune,,Chambersburg
poune-cha,Poune,,Chambersburg
poune-cha,Pounce,,Chambersburg
poune-cha,Pounne,,Chambersburg
pugh-cha,Pugh,,Chambersburg
scherdell-cha,Scherdell,,Chambersburg
sharadan-cha,Sharadin,,Chambersburg
sharadan-cha,Sharidan,,Chambersburg
sharadan-cha,Sheridan,,Chambersburg
sharadan-cha,Sheradan,,Chambersburg
sharadan-cha,Sharadan,,Chambersburg
shoemaker-cha,Shoemaker,,Chambersburg
snavely-cha,Snavely,,Chambersburg
snavely-cha,Snaveley,,Chambersburg
snell-cha,Snell,,Chambersburg
snyder-cha,Snyder,,Chambersburg
steinbach-han+cha,Steinbach,,Chambersburg
steinbach-han+cha,Stinebach,,Chambersburg
stewart-cha,Stewart,,Chambersburg
strausbaugh-fre+cha,Strasbaugh,,Chambersburg
stricker-cha,Stricker,,Chambersburg
stricker-cha,Strickler,,Chambersburg
stroh.g-cha+han,Stroh,C.,Chambersburg
stroh.g-cha+han,Stroh,G.,Chambersburg
stroh.g-cha+han,Stroh,,Chambersburg
stroh.g-cha+han,Strogh,,Chambersburg
stroh.w-cha,Stroh,W.,Chambersburg
stroh.w-cha,Stroh,[W.],Chambersburg
traub-cha,Traub,,Chambersburg
yates-cha,Yates,,Chambersburg
agnew-fre,Agnew,,Frederick
