person.key,person.name.last,person.name.first,entry.name
allison-can,Allison,,Canton
baird-akr+new,Baird,,Akron
baird-akr+new,Baird,,Newark
barnhart-can,Barnhart,,Canton
baughman-can,Baughman,,Canton
beeney-can,Beeney,,Canton
benner-new,Benner,,Newark
black-fin,Black,,Findlay
blanchard-new,Blanchard,,Newark
blubaugh-new,Blubaugh,Walter,Newark
blue-fin,Blue,,Findlay
bond-lim,Bond,,Lima
bonin-new,Bonin,Luther,Newark
booie-new,Booie,Edward,Newark
bostick-can,Bostick,,Canton
breshnahan-fin,Breshnahan,,Findlay
breymaier-new,Breymaier,Harry,Newark
byatt-akr+can,Byatt,Bernie,Akron
byatt-akr+can,Byatt,Bernie,Canton
carpenter-new,Carpenter,,Newark
chapman-fin,Chapman,Ollie,Findlay
clark-akr+can,Clark,,Akron
clakr-akr+can,Clark,,Canton
clark-lim,Clark,Ray,Lima
connor-akr+can,Connor,,Akron
connor-akr+can,Connor,,Canton
cook-can,Cook,,Canton
costello-fin,Costello,,Findlay
cronin-lim,Cronin,,Lima
crowder-new,Crowder,Ned,Newark
curtis-can,Curtis,,Canton
daugherty-new,Daugherty,Henry,Newark
day-can,Day,,Canton
deitrich-new,Deitrich,,Newark
dillon-new,Dillon,Tom,Newark
donaldson-fin,Donaldson,,Findlay
drake-new,Drake,Ted,Newark
drum-lim,Drum,,Lima
egan-fin,Egan,,Findlay
evans-new,Evans,Chic,Newark
farrell-new,Farrell,,Newark
ferguson-can,Ferguson,,Canton
fickel-akr+can,Fickel,,Akron
fickel-akr+can,Fickel,,Canton
fields-akr+fin,Fields,,Akron
fields-akr+fin,Fields,,Findlay
fletcher-lim,Fletcher,,Lima
franken-new,Franken,,Newark
geiger-new,Geiger,,Newark
glennon-akr,Glennon,,Akron
goodwin-new,Goodwin,Clyde,Newark
hall-fin,Hall,,Findlay
hanna-new,Hanna,Harry,Newark
hart-mar+new,Hart,Red,Marion
hart-mar+new,Hart,Red,Newark
hawn-can,Hawn,,Canton
hoffman-mar,Hoffman,,Marion
holler-akr,Holler,,Akron
hook-akr,Hook,,Akron
humphreys-new,Humphreys,Harley,Newark
hunt-new,Hunt,L. C.,Newark
jaekel-akr,Jaekel,Newt,Akron
johnson-can,Johnson,Vic,Canton
judge-mar+new,Judge,,Marion
judge-mar+new,Judge,,Newark
kirby-can,Kirby,,Canton
koontz-can,Koontz,,Canton
lamb-new,Lamb,,Newark
leake-mar,Leake,Al,Marion
linne-akr,Linne,,Akron
long.e-akr,Long,E.,Akron
long-new,Long,Frank,Newark
long.s-akr,Long,Shorty,Akron
mahan-new,Mahan,,Newark
malloy-lim,Malloy,H.,Lima
malloy-new,Malloy,J.,Newark
maroney-lim,Maroney,,Lima
matthews-lim,Matthews,,Lima
mcclellan-lim,McClellan,Boggs,Lima
mccluskey-fin,McCluskey,Harry,Findlay
mccullough-new,McCullough,Nace,Newark
mcfarland-new,McFarland,Pete,Newark
mcgivern-fin,McGivern,,Findlay
mcgonigle-mar,McGonigle,,Marion
mcguire-fin,McGuire,,Findlay
mcguire-can,McGuire,,Canton
mckee-akr,McKee,,Akron
mclaughlin-can,McLaughlin,Earl,Canton
meyers-new,Meyers,,Newark
miller-new+can+lim,Miller,,Newark
miller-new+can+lim,Miller,,Canton
miller-new+can+lim,Miller,,Lima
moore-new,Moore,,Newark
morrin-can,Morrin,,Canton
mundy-can+akr,Mundy,Bill,Canton
mundy-can+akr,Mundy,Bill,Akron
murray-lim,Murray,Sandy,Lima
myers-akr,Myers,,Akron
neer-mar,Neer,,Marion
newnham-akr,Newnham,Al,Akron
orndolf-mar,Orndolf,,Marion
pastourious-can,Pastourious,P.,Canton
patton-can+akr,Patton,Buck,Canton
patton-can+akr,Patton,Buck,Akron
peak-akr,Peak,,Akron
pearce-new,Pearce,Bunny,Newark
pickett-akr,Pickett,Charlie,Akron
plummer-akr,Plummer,,Akron
price-akr,Price,,Akron
price-new,Price,Ed,Newark
price-mar,Price,G.,Marion
prout-can,Prout,Pill,Canton
reese-new,Reese,Dick,Newark
reynolds-lim,Reynolds,,Lima
richmond-fin,Richmond,Dean,Findlay
riley-new,Riley,Harry,Newark
roudebusch-new,Roudebusch,,Newark
samuels-can,Samuels,Henry,Canton
schoner-akr,Schoner,George,Akron
schultz-fin,Schultz,,Findlay
schweitzer-lim,Schweitzer,Al,Lima
smith-can,Smith,,Canton
spahr-can,Spahr,,Canton
strawn-new,Strawn,,Newark
talbot-akr,Talbot,,Akron
thomas-mar,Thoma,,Marion
thrapp-new,Thrapp,,Newark
trimmer-new,Trimmer,,Newark
walker-lim,Walker,Leo,Lima
warden-lim,Warden,,Lima
weitel-new,Weitel,,Newark
werner-fin,Werner,,Findlay
wetzel-mar,Wetzel,,Marion
wilhelm-can,Wilhelm,Lefty,Canton
wratten-new,Wratten,Irvin,Newark
yockey-fin,Yockey,,Findlay
